voltage (V), photocurrent (A)
-10.000, -1.679028e-09
-10.000, -1.679613e-09
-10.000, -1.68826e-09
-10.000, -1.69389e-09
-10.000, -1.692316e-09
-10.000, -1.694175e-09
-10.000, -1.69382e-09
-10.000, -1.696411e-09
-10.000, -1.694102e-09
-10.000, -1.689781e-09
-9.990, -1.685589e-09
-9.990, -1.682321e-09
-9.990, -1.685864e-09
-9.990, -1.681278e-09
-9.990, -1.681828e-09
-9.990, -1.679024e-09
-9.990, -1.679755e-09
-9.990, -1.67174e-09
-9.990, -1.679443e-09
-9.990, -1.679762e-09
-9.980, -1.67158e-09
-9.980, -1.671356e-09
-9.980, -1.671082e-09
-9.980, -1.669784e-09
-9.980, -1.671047e-09
-9.980, -1.666275e-09
-9.980, -1.66243e-09
-9.980, -1.673189e-09
-9.980, -1.670383e-09
-9.980, -1.673429e-09
-9.970, -1.664253e-09
-9.970, -1.669546e-09
-9.970, -1.660629e-09
-9.970, -1.667239e-09
-9.970, -1.659486e-09
-9.970, -1.660137e-09
-9.970, -1.664871e-09
-9.970, -1.668605e-09
-9.970, -1.667824e-09
-9.970, -1.666718e-09
-9.960, -1.663644e-09
-9.960, -1.664706e-09
-9.960, -1.65822e-09
-9.960, -1.656418e-09
-9.960, -1.654276e-09
-9.960, -1.653929e-09
-9.960, -1.663998e-09
-9.960, -1.656678e-09
-9.960, -1.661807e-09
-9.960, -1.652855e-09
-9.950, -1.658687e-09
-9.950, -1.663159e-09
-9.950, -1.656719e-09
-9.950, -1.654608e-09
-9.950, -1.65577e-09
-9.950, -1.650161e-09
-9.950, -1.66206e-09
-9.950, -1.660967e-09
-9.950, -1.657048e-09
-9.950, -1.658385e-09
-9.940, -1.646469e-09
-9.940, -1.65757e-09
-9.940, -1.628049e-09
-9.940, -1.641983e-09
-9.940, -1.639714e-09
-9.940, -1.651335e-09
-9.940, -1.651289e-09
-9.940, -1.652913e-09
-9.940, -1.652678e-09
-9.940, -1.651651e-09
-9.930, -1.648197e-09
-9.930, -1.653704e-09
-9.930, -1.650645e-09
-9.930, -1.654138e-09
-9.930, -1.651282e-09
-9.930, -1.649352e-09
-9.930, -1.650524e-09
-9.930, -1.649374e-09
-9.930, -1.647012e-09
-9.930, -1.658284e-09
-9.920, -1.656563e-09
-9.920, -1.646512e-09
-9.920, -1.647857e-09
-9.920, -1.646515e-09
-9.920, -1.647565e-09
-9.920, -1.645435e-09
-9.920, -1.645987e-09
-9.920, -1.647023e-09
-9.920, -1.655372e-09
-9.920, -1.646958e-09
-9.910, -1.641495e-09
-9.910, -1.639106e-09
-9.910, -1.645409e-09
-9.910, -1.629674e-09
-9.910, -1.635228e-09
-9.910, -1.635061e-09
-9.910, -1.638116e-09
-9.910, -1.638457e-09
-9.910, -1.638085e-09
-9.910, -1.639089e-09
-9.900, -1.637701e-09
-9.900, -1.635813e-09
-9.900, -1.635843e-09
-9.900, -1.63529e-09
-9.900, -1.63283e-09
-9.900, -1.631577e-09
-9.900, -1.628772e-09
-9.900, -1.630942e-09
-9.900, -1.628929e-09
-9.900, -1.630927e-09
-9.890, -1.62946e-09
-9.890, -1.626999e-09
-9.890, -1.626389e-09
-9.890, -1.627815e-09
-9.890, -1.626789e-09
-9.890, -1.625794e-09
-9.890, -1.625613e-09
-9.890, -1.62557e-09
-9.890, -1.62549e-09
-9.890, -1.624463e-09
-9.880, -1.62107e-09
-9.880, -1.623004e-09
-9.880, -1.620871e-09
-9.880, -1.622181e-09
-9.880, -1.624035e-09
-9.880, -1.62335e-09
-9.880, -1.621413e-09
-9.880, -1.622695e-09
-9.880, -1.622987e-09
-9.880, -1.621438e-09
-9.870, -1.624115e-09
-9.870, -1.623178e-09
-9.870, -1.623718e-09
-9.870, -1.637091e-09
-9.870, -1.636604e-09
-9.870, -1.63514e-09
-9.870, -1.634742e-09
-9.870, -1.633554e-09
-9.870, -1.630656e-09
-9.870, -1.621408e-09
-9.860, -1.65659e-09
-9.860, -1.657045e-09
-9.860, -1.656822e-09
-9.860, -1.656489e-09
-9.860, -1.657876e-09
-9.860, -1.656607e-09
-9.860, -1.658882e-09
-9.860, -1.657128e-09
-9.860, -1.657562e-09
-9.860, -1.658272e-09
-9.850, -1.660572e-09
-9.850, -1.657227e-09
-9.850, -1.658097e-09
-9.850, -1.658927e-09
-9.850, -1.658642e-09
-9.850, -1.657188e-09
-9.850, -1.658375e-09
-9.850, -1.658455e-09
-9.850, -1.659079e-09
-9.850, -1.658872e-09
-9.840, -1.657174e-09
-9.840, -1.658682e-09
-9.840, -1.65865e-09
-9.840, -1.656728e-09
-9.840, -1.66063e-09
-9.840, -1.661589e-09
-9.840, -1.661713e-09
-9.840, -1.663669e-09
-9.840, -1.658118e-09
-9.840, -1.657745e-09
-9.830, -1.656772e-09
-9.830, -1.658877e-09
-9.830, -1.66015e-09
-9.830, -1.660499e-09
-9.830, -1.660798e-09
-9.830, -1.658425e-09
-9.830, -1.658173e-09
-9.830, -1.661245e-09
-9.830, -1.659818e-09
-9.830, -1.661076e-09
-9.820, -1.65976e-09
-9.820, -1.659471e-09
-9.820, -1.655148e-09
-9.820, -1.655661e-09
-9.820, -1.656359e-09
-9.820, -1.65502e-09
-9.820, -1.656458e-09
-9.820, -1.659884e-09
-9.820, -1.656775e-09
-9.820, -1.658653e-09
-9.810, -1.655667e-09
-9.810, -1.655782e-09
-9.810, -1.658174e-09
-9.810, -1.655286e-09
-9.810, -1.657326e-09
-9.810, -1.65568e-09
-9.810, -1.658045e-09
-9.810, -1.65887e-09
-9.810, -1.659026e-09
-9.810, -1.659919e-09
-9.800, -1.660071e-09
-9.800, -1.65525e-09
-9.800, -1.655619e-09
-9.800, -1.659653e-09
-9.800, -1.660895e-09
-9.800, -1.654975e-09
-9.800, -1.656701e-09
-9.800, -1.658786e-09
-9.800, -1.653917e-09
-9.800, -1.66067e-09
-9.790, -1.659037e-09
-9.790, -1.653682e-09
-9.790, -1.658249e-09
-9.790, -1.655797e-09
-9.790, -1.659577e-09
-9.790, -1.655526e-09
-9.790, -1.660675e-09
-9.790, -1.655155e-09
-9.790, -1.654617e-09
-9.790, -1.65794e-09
-9.780, -1.659357e-09
-9.780, -1.652929e-09
-9.780, -1.655133e-09
-9.780, -1.656602e-09
-9.780, -1.653305e-09
-9.780, -1.657322e-09
-9.780, -1.654735e-09
-9.780, -1.658363e-09
-9.780, -1.652348e-09
-9.780, -1.653714e-09
-9.770, -1.654836e-09
-9.770, -1.655533e-09
-9.770, -1.657501e-09
-9.770, -1.655967e-09
-9.770, -1.657476e-09
-9.770, -1.653653e-09
-9.770, -1.65864e-09
-9.770, -1.653888e-09
-9.770, -1.65746e-09
-9.770, -1.657002e-09
-9.760, -1.656513e-09
-9.760, -1.656343e-09
-9.760, -1.654316e-09
-9.760, -1.660988e-09
-9.760, -1.657633e-09
-9.760, -1.657835e-09
-9.760, -1.659781e-09
-9.760, -1.657405e-09
-9.760, -1.65831e-09
-9.760, -1.657188e-09
-9.750, -1.656458e-09
-9.750, -1.656361e-09
-9.750, -1.657396e-09
-9.750, -1.657758e-09
-9.750, -1.658646e-09
-9.750, -1.658136e-09
-9.750, -1.658071e-09
-9.750, -1.661804e-09
-9.750, -1.660377e-09
-9.750, -1.66384e-09
-9.740, -1.659316e-09
-9.740, -1.662668e-09
-9.740, -1.657988e-09
-9.740, -1.65953e-09
-9.740, -1.660146e-09
-9.740, -1.658868e-09
-9.740, -1.659696e-09
-9.740, -1.660487e-09
-9.740, -1.659028e-09
-9.740, -1.658985e-09
-9.730, -1.657232e-09
-9.730, -1.657002e-09
-9.730, -1.660649e-09
-9.730, -1.658151e-09
-9.730, -1.656892e-09
