voltage (V), photocurrent (A)
0.000, 4.251734e-08
0.000, 4.260003e-08
0.000, 4.25817e-08
0.000, 4.262434e-08
0.000, 4.24506e-08
0.000, 4.260896e-08
0.000, 4.265989e-08
0.000, 4.263367e-08
0.000, 4.273823e-08
0.000, 4.282818e-08
0.500, 1.126618e-07
0.500, 1.127115e-07
0.500, 1.127542e-07
0.500, 1.128076e-07
0.500, 1.125502e-07
0.500, 1.125213e-07
0.500, 1.123714e-07
0.500, 1.120556e-07
0.500, 1.118521e-07
0.500, 1.118696e-07
1.000, 1.917023e-07
1.000, 1.91556e-07
1.000, 1.914556e-07
1.000, 1.918611e-07
1.000, 1.914523e-07
1.000, 1.912125e-07
1.000, 1.916142e-07
1.000, 1.915796e-07
1.000, 1.91142e-07
1.000, 1.9146e-07
1.500, 2.709227e-07
1.500, 2.710759e-07
1.500, 2.716724e-07
1.500, 2.71117e-07
1.500, 2.704876e-07
1.500, 2.709537e-07
1.500, 2.705449e-07
1.500, 2.69984e-07
1.500, 2.70239e-07
1.500, 2.700111e-07
2.000, 3.449116e-07
2.000, 3.446382e-07
2.000, 3.442861e-07
2.000, 3.450162e-07
2.000, 3.446286e-07
2.000, 3.443059e-07
2.000, 3.445645e-07
2.000, 3.447834e-07
2.000, 3.44339e-07
2.000, 3.443888e-07
2.500, 4.106599e-07
2.500, 4.11447e-07
2.500, 4.110487e-07
2.500, 4.103316e-07
2.500, 4.108982e-07
2.500, 4.109044e-07
2.500, 4.100877e-07
2.500, 4.105879e-07
2.500, 4.107698e-07
2.500, 4.09763e-07
3.000, 4.679405e-07
3.000, 4.675063e-07
3.000, 4.682058e-07
3.000, 4.687379e-07
3.000, 4.676039e-07
3.000, 4.684211e-07
3.000, 4.691988e-07
3.000, 4.682199e-07
3.000, 4.683939e-07
3.000, 4.691298e-07
3.500, 5.170659e-07
3.500, 5.183223e-07
3.500, 5.18038e-07
3.500, 5.1709e-07
3.500, 5.180333e-07
3.500, 5.182159e-07
3.500, 5.172813e-07
3.500, 5.179475e-07
3.500, 5.183641e-07
