filter, wavelength (nm), error (nm)
UV, 366.7475586, 1.521639204722142
V, 406.0767517, 1.4598852515738212
B, 437.2018738, 1.39497673223897
G, 547.0256348, 0.9304775514868415
Y, 578.6934203999999, 1.5867071178633727
R, 691.4245605, 1.3726521013225714
