filter, stop pot V0 (V), error (V)
UV, 2.2859134797323, 2.784587973531632
V, 1.7307196257220734, 0.325195490367014
B, 1.5226366134936944, 0.08308280951215408
G, 1.078755636603173, 1.8145336637139249
Y, 0.8078759786933992, 3.222330685736937
R, 0.18017770412153936, 2.066827018494954
