wavelength (nm), amplitude (a.u.)
2.314936218e+02,-2.967779001e-04
2.316952667e+02,7.442276692e-04
2.318969269e+02,-3.789625480e-04
2.320986176e+02,-5.022395271e-05
2.323003082e+02,1.415402367e-04
2.325020294e+02,-1.666522119e-03
2.327037659e+02,-1.598034869e-04
2.329055176e+02,-1.255598851e-03
2.331072845e+02,-1.556942589e-03
2.333090668e+02,-7.624909049e-04
2.335108643e+02,-1.584337442e-03
2.337126923e+02,-4.063574306e-04
2.339145355e+02,1.415402367e-04
2.341163940e+02,1.346915145e-03
2.343182678e+02,8.675046411e-05
2.345201569e+02,1.689351193e-04
2.347220612e+02,-9.268602007e-04
2.349239960e+02,-1.146019320e-03
2.351259308e+02,-7.350960514e-04
2.353278961e+02,-1.282993704e-03
2.355298767e+02,-2.159629948e-03
2.357318726e+02,-3.789625480e-04
2.359338837e+02,-4.063574306e-04
2.361359100e+02,-3.173240693e-03
2.363379669e+02,-4.885420785e-04
2.365400391e+02,-8.720704354e-04
2.367421112e+02,-1.529547619e-03
2.369442139e+02,-1.529547619e-03
2.371463318e+02,-2.132235095e-03
2.373484802e+02,1.963300019e-04
2.375506287e+02,-9.816499660e-04
2.377528076e+02,-1.885681180e-03
2.379549866e+02,1.689351193e-04
2.381571960e+02,-1.324086043e-04
2.383594208e+02,-1.693916973e-03
2.385616608e+02,1.292125322e-03
2.387639160e+02,-2.104840241e-03
2.389662018e+02,3.606993123e-04
2.391684875e+02,-2.323999302e-03
2.393708038e+02,7.990174345e-04
2.395731354e+02,2.511197526e-04
2.397754822e+02,4.154890776e-04
2.399778442e+02,5.524634616e-04
2.401802216e+02,5.524634616e-04
2.403826294e+02,-1.693916973e-03
2.405850372e+02,-1.091229497e-03
2.407874756e+02,-2.077445388e-03
2.409899292e+02,1.127756084e-03
2.411923981e+02,-1.940470887e-03
2.413948822e+02,-1.009044820e-03
2.415973816e+02,-1.282993704e-03
2.417999115e+02,-2.282907008e-05
2.420024414e+02,1.045571407e-03
2.422050018e+02,-2.419881348e-04
2.424075775e+02,-4.337523133e-04
2.426101685e+02,-6.529113743e-04
2.428127747e+02,-2.693830174e-04
2.430153961e+02,9.085969650e-04
2.432180328e+02,-4.337523133e-04
2.434207001e+02,-4.063574306e-04
2.436233826e+02,-1.447363058e-03
2.438260651e+02,5.935558147e-05
2.440287781e+02,-1.967865741e-03
2.442315063e+02,-1.200809027e-03
2.444342651e+02,-5.159369903e-04
2.446370239e+02,-1.611732296e-03
2.448397980e+02,-5.707267555e-04
2.450426025e+02,-6.803062861e-04
2.452454224e+02,-1.365178381e-03
2.454482574e+02,-1.324086043e-04
2.456511078e+02,1.963300019e-04
2.458539734e+02,-1.173414174e-03
2.460568542e+02,-2.419881348e-04
2.462597656e+02,9.907815838e-04
2.464626770e+02,-3.241727827e-04
2.466656189e+02,-3.789625480e-04
2.468685760e+02,5.524634616e-04
2.470715485e+02,-2.693830174e-04
2.472745361e+02,-7.898858166e-04
2.474775391e+02,-1.502152765e-03
2.476805725e+02,-8.720704354e-04
2.478836060e+02,-5.022395271e-05
2.480866699e+02,-5.707267555e-04
2.482897491e+02,-1.050137216e-04
2.484928436e+02,-1.748706680e-03
2.486959534e+02,3.880941949e-04
2.488990784e+02,-4.611471959e-04
2.491022186e+02,-1.050137216e-04
2.493053894e+02,-1.721311826e-03
2.495085602e+02,-4.337523133e-04
2.497117615e+02,-1.598034869e-04
2.499149780e+02,-1.324086043e-04
2.501182098e+02,-2.762317425e-03
2.503214569e+02,-7.898858166e-04
2.505247192e+02,-2.022655681e-03
2.507280121e+02,1.264730468e-03
2.509313049e+02,7.442276692e-04
2.511346283e+02,-5.707267555e-04
2.513379669e+02,-9.268602007e-04
2.515413208e+02,-2.419881348e-04
2.517446899e+02,-1.337783528e-03
2.519480743e+02,-2.680132864e-03
2.521514740e+02,-1.803496503e-03
2.523549042e+02,4.154890776e-04
2.525583344e+02,-5.159369903e-04
2.527617950e+02,-3.241727827e-04
2.529652710e+02,-2.460973803e-03
2.531687622e+02,-1.556942589e-03
2.533722687e+02,-7.624909049e-04
2.535757904e+02,-6.803062861e-04
2.537793274e+02,-1.940470887e-03
2.539828949e+02,-1.036439789e-03
2.541864624e+02,-2.967779001e-04
2.543900604e+02,3.880941949e-04
2.545936737e+02,-3.145845840e-03
2.547973022e+02,4.565813924e-06
2.550009460e+02,-1.255598851e-03
2.552046051e+02,-1.666522119e-03
2.554082947e+02,-1.598034869e-04
2.556119843e+02,-5.022395271e-05
2.558157043e+02,1.620863914e-03
2.560194397e+02,-1.255598851e-03
2.562231750e+02,2.785146353e-04
2.564269409e+02,3.196069883e-05
2.566307373e+02,-1.885681180e-03
2.568345337e+02,2.785146353e-04
2.570383301e+02,-1.967865741e-03
2.572421875e+02,-2.145932522e-04
2.574460144e+02,-8.720704354e-04
2.576499023e+02,6.346481387e-04
2.578537903e+02,5.250686081e-04
2.580576782e+02,-3.515676653e-04
2.582615967e+02,5.935558147e-05
2.584655457e+02,-1.036439789e-03
2.586694946e+02,-1.146019320e-03
