wavelength (nm), amplitude (a.u.)
2.323003082e+02,-9.186713723e-04
2.325020294e+02,1.488566748e-03
2.327037659e+02,4.764325568e-04
2.329055176e+02,-1.595707181e-05
2.331072845e+02,9.688221617e-04
2.333090668e+02,2.774250694e-03
2.335108643e+02,-1.595707181e-05
2.337126923e+02,9.141121991e-04
2.339145355e+02,2.575927065e-04
2.341163940e+02,-1.800869504e-04
2.343182678e+02,-2.347968984e-04
2.345201569e+02,1.433856785e-03
2.347220612e+02,-4.262817383e-04
2.349239960e+02,-3.989267861e-04
2.351259308e+02,1.597986673e-03
2.353278961e+02,-2.074419172e-04
2.355298767e+02,-1.356351073e-03
2.357318726e+02,2.336570993e-03
2.359338837e+02,-2.074419172e-04
2.361359100e+02,3.670126316e-04
2.363379669e+02,1.187662012e-03
2.365400391e+02,1.625341596e-03
2.367421112e+02,-2.347968984e-04
2.369442139e+02,-1.055446221e-03
2.371463318e+02,-4.809917009e-04
2.373484802e+02,-2.895068610e-04
2.375506287e+02,-8.913163911e-04
2.377528076e+02,-9.186713723e-04
2.379549866e+02,-2.860874869e-03
2.381571960e+02,6.952723488e-04
2.383594208e+02,1.481727959e-04
2.385616608e+02,-1.602545846e-03
2.387639160e+02,-8.366064285e-04
2.389662018e+02,-9.802200657e-05
2.391684875e+02,2.302377397e-04
2.393708038e+02,1.132952049e-03
2.395731354e+02,-1.055446221e-03
2.397754822e+02,1.351791900e-03
2.399778442e+02,-6.177665782e-04
2.401802216e+02,-7.066702528e-05
2.403826294e+02,-3.168618423e-04
2.405850372e+02,-1.055446221e-03
2.407874756e+02,1.215016935e-03
2.409899292e+02,1.871536486e-03
2.411923981e+02,3.943676129e-04
2.413948822e+02,1.461211825e-03
2.415973816e+02,3.396576503e-04
2.417999115e+02,-6.998315221e-04
2.420024414e+02,3.396576503e-04
2.422050018e+02,1.105597010e-03
2.424075775e+02,6.952723488e-04
2.426101685e+02,3.943676129e-04
2.428127747e+02,-1.055446221e-03
2.430153961e+02,6.405624445e-04
2.432180328e+02,1.105597010e-03
2.434207001e+02,3.670126316e-04
2.436233826e+02,-9.802200657e-05
2.438260651e+02,-5.083467113e-04
2.440287781e+02,-1.411061035e-03
2.442315063e+02,6.405624445e-04
2.444342651e+02,1.980956411e-03
2.446370239e+02,1.139790766e-05
2.448397980e+02,1.215016935e-03
2.450426025e+02,8.594022365e-04
2.452454224e+02,-5.904115969e-04
2.454482574e+02,-6.177665782e-04
2.456511078e+02,-2.895068610e-04
2.458539734e+02,4.764325568e-04
2.460568542e+02,-1.253769879e-04
2.462597656e+02,1.215016935e-03
2.464626770e+02,-1.411061035e-03
2.466656189e+02,-1.253769879e-04
2.468685760e+02,6.132074632e-04
2.470715485e+02,5.311425193e-04
2.472745361e+02,-2.074419172e-04
2.474775391e+02,-4.262817383e-04
2.476805725e+02,1.755277772e-04
2.478836060e+02,-8.913163911e-04
2.480866699e+02,-1.301641110e-03
2.482897491e+02,5.584975006e-04
2.484928436e+02,7.499823114e-04
2.486959534e+02,1.461211825e-03
2.488990784e+02,3.396576503e-04
2.491022186e+02,-5.630566739e-04
2.493053894e+02,1.481727959e-04
2.495085602e+02,2.028827585e-04
2.497117615e+02,1.297081937e-03
2.499149780e+02,1.871536486e-03
2.501182098e+02,-9.733813349e-04
2.503214569e+02,-6.998315221e-04
2.505247192e+02,-2.347968984e-04
2.507280121e+02,1.816826523e-03
2.509313049e+02,1.139790766e-05
2.511346283e+02,2.302377397e-04
2.513379669e+02,-5.904115969e-04
2.515413208e+02,3.396576503e-04
2.517446899e+02,1.160306972e-03
2.519480743e+02,4.490775755e-04
2.521514740e+02,-1.684610732e-03
2.523549042e+02,-4.262817383e-04
2.525583344e+02,1.324436860e-03
2.527617950e+02,1.187662012e-03
2.529652710e+02,3.670126316e-04
2.531687622e+02,7.773372927e-04
2.533722687e+02,1.543276710e-03
2.535757904e+02,2.363926033e-03
2.537793274e+02,5.311425193e-04
2.539828949e+02,-4.262817383e-04
2.541864624e+02,-3.442168236e-04
2.543900604e+02,6.610786659e-05
2.545936737e+02,3.396576503e-04
2.547973022e+02,1.215016935e-03
2.550009460e+02,-2.347968984e-04
2.552046051e+02,-4.809917009e-04
2.554082947e+02,-1.766675734e-03
2.556119843e+02,1.481727959e-04
2.558157043e+02,2.008311450e-03
2.560194397e+02,-3.442168236e-04
2.562231750e+02,4.490775755e-04
2.564269409e+02,1.570631750e-03
2.566307373e+02,1.488566748e-03
2.568345337e+02,-2.347968984e-04
2.570383301e+02,-2.347968984e-04
2.572421875e+02,1.215016935e-03
2.574460144e+02,-4.262817383e-04
2.576499023e+02,7.499823114e-04
2.578537903e+02,-4.809917009e-04
2.580576782e+02,4.764325568e-04
2.582615967e+02,6.610786659e-05
2.584655457e+02,-3.442168236e-04
2.586694946e+02,8.320472552e-04
2.588734741e+02,1.481727959e-04
2.590774536e+02,6.952723488e-04
2.592814636e+02,5.037875380e-04
2.594854736e+02,-6.177665782e-04
2.596895142e+02,7.499823114e-04
2.598935852e+02,-1.930805622e-03
2.600976562e+02,-1.527319691e-04
2.603017273e+02,1.597986673e-03
2.605058594e+02,2.090376336e-03
2.607099609e+02,4.217225942e-04
2.609141235e+02,4.490775755e-04
2.611182861e+02,-5.630566739e-04
2.613224487e+02,1.597986673e-03
2.615266418e+02,-5.083467113e-04
2.617308655e+02,2.028827585e-04
2.619350891e+02,-1.028091297e-03
2.621393127e+02,-1.595707181e-05
2.623435974e+02,-5.357016926e-04
2.625478821e+02,3.875288530e-05
2.627521667e+02,3.396576503e-04
2.629564819e+02,1.597986673e-03
2.631607971e+02,-4.536367196e-04
2.633651428e+02,-1.520480844e-03
2.635695190e+02,-6.724765408e-04
2.637738953e+02,-1.219576108e-03
2.639783020e+02,4.764325568e-04
2.641827087e+02,2.199796261e-03
2.643871460e+02,-7.271865034e-04
2.645915833e+02,5.858524819e-04
2.647960510e+02,-5.357016926e-04
2.650005493e+02,6.610786659e-05
2.652050476e+02,6.679174257e-04
2.654095459e+02,1.351791900e-03
2.656140747e+02,2.028827585e-04
2.658186340e+02,1.481727959e-04
2.660231934e+02,1.816826523e-03
2.662277832e+02,-1.000736258e-03
2.664324036e+02,1.755277772e-04
2.666370239e+02,3.875288530e-05
2.668416443e+02,2.254506107e-03
2.670462952e+02,8.046922740e-04
2.672509766e+02,2.063021297e-03
2.674556580e+02,-2.621518797e-04
2.676603699e+02,1.597986673e-03
2.678650818e+02,7.226273301e-04
2.680698242e+02,-2.012870507e-03
2.682745667e+02,6.952723488e-04
2.684793396e+02,1.481727959e-04
2.686841431e+02,8.867572178e-04
2.688889465e+02,-1.192221185e-03
2.690937500e+02,2.418636112e-03
2.692986145e+02,-7.066702528e-05
2.695034485e+02,6.952723488e-04
2.697083435e+02,6.405624445e-04
2.699132080e+02,2.302377397e-04
2.701181335e+02,-2.505260054e-03
2.703230591e+02,2.302377397e-04
2.705279846e+02,4.764325568e-04
2.707329407e+02,4.764325568e-04
2.709379272e+02,-7.271865034e-04
2.711429138e+02,1.078242087e-03
2.713479309e+02,7.773372927e-04
2.715529480e+02,1.215016935e-03
2.717579956e+02,2.849476878e-04
2.719630432e+02,1.208178219e-04
2.721681213e+02,-1.930805622e-03
2.723732300e+02,-3.442168236e-04
2.725783386e+02,-1.547835884e-03
2.727834473e+02,1.980956411e-03
2.729885864e+02,4.490775755e-04
2.731937561e+02,2.302377397e-04
2.733989258e+02,6.132074632e-04
2.736041260e+02,7.499823114e-04
2.738093262e+02,1.208178219e-04
2.740145569e+02,-1.253769879e-04
2.742198181e+02,5.311425193e-04
2.744250793e+02,9.414671804e-04
2.746303406e+02,9.141121991e-04
2.748356323e+02,-1.739320694e-03
2.750409546e+02,5.858524819e-04
2.752462769e+02,1.023532124e-03
2.754516296e+02,-1.301641110e-03
2.756569824e+02,1.208178219e-04
2.758623657e+02,-6.724765408e-04
2.760677795e+02,-9.733813349e-04
2.762731934e+02,7.773372927e-04
2.764786072e+02,-1.253769879e-04
2.766840515e+02,8.046922740e-04
2.768895264e+02,2.090376336e-03
2.770950012e+02,-3.168618423e-04
2.773005066e+02,4.490775755e-04
2.775060120e+02,-1.164866146e-03
2.777115479e+02,1.023532124e-03
2.779170837e+02,-2.621518797e-04
2.781226501e+02,3.123026690e-04
2.783282471e+02,-5.357016926e-04
2.785338440e+02,3.123026690e-04
2.787394409e+02,3.123026690e-04
2.789450684e+02,2.063021297e-03
2.791507263e+02,5.584975006e-04
2.793563843e+02,-2.074419172e-04
2.795620728e+02,2.575927065e-04
2.797677612e+02,-7.271865034e-04
2.799734802e+02,2.199796261e-03
2.801791992e+02,-1.192221185e-03
2.803849487e+02,2.302377397e-04
2.805907288e+02,5.037875380e-04
2.807965088e+02,-1.800869504e-04
2.810023193e+02,7.773372927e-04
2.812081299e+02,-2.231710358e-03
2.814139404e+02,9.688221617e-04
2.816198120e+02,2.302377397e-04
2.818256531e+02,-3.168618423e-04
2.820315552e+02,-1.800869504e-04
2.822374573e+02,5.858524819e-04
2.824433594e+02,4.217225942e-04
2.826492920e+02,-2.895068610e-04
2.828552551e+02,-7.818964659e-04
2.830612183e+02,1.078242087e-03
2.832671814e+02,8.594022365e-04
2.834731750e+02,8.046922740e-04
2.836791992e+02,-3.989267861e-04
2.838852234e+02,-6.998315221e-04
2.840912781e+02,2.028827585e-04
2.842973633e+02,1.816826523e-03
2.845034485e+02,1.433856785e-03
2.847095337e+02,1.652696636e-03
2.849156494e+02,1.139790766e-05
2.851217957e+02,6.132074632e-04
2.853279419e+02,2.063021297e-03
2.855340881e+02,5.858524819e-04
2.857402649e+02,-4.536367196e-04
2.859464722e+02,1.139790766e-05
2.861526794e+02,5.311425193e-04
2.863589172e+02,4.764325568e-04
2.865651855e+02,-4.331205128e-05
2.867714233e+02,2.965735504e-03
2.869777222e+02,-2.621518797e-04
2.871840210e+02,7.226273301e-04
2.873903198e+02,-7.545414846e-04
2.875966797e+02,6.405624445e-04
2.878030090e+02,-6.451215595e-04
2.880093689e+02,4.217225942e-04
2.882157593e+02,9.688221617e-04
2.884221497e+02,6.679174257e-04
2.886285706e+02,-1.164866146e-03
2.888349915e+02,1.898891409e-03
2.890414429e+02,9.961770847e-04
2.892479248e+02,-4.536367196e-04
2.894544067e+02,1.023532124e-03
2.896608887e+02,1.078242087e-03
2.898674011e+02,5.311425193e-04
2.900739441e+02,1.543276710e-03
2.902804871e+02,-2.621518797e-04
2.904870605e+02,5.037875380e-04
2.906936340e+02,8.594022365e-04
