voltage (V), photocurrent (A)
-10.000, -1.182447e-11
-10.000, -1.095971e-11
-10.000, -1.033472e-11
-10.000, -9.801022e-12
-10.000, -9.302427e-12
-10.000, -9.14894e-12
-10.000, -8.781777e-12
-10.000, -8.512914e-12
-10.000, -8.209952e-12
-10.000, -7.973194e-12
-9.990, -6.345009e-12
-9.990, -6.36006e-12
-9.990, -6.238674e-12
-9.990, -6.14337e-12
-9.990, -6.049064e-12
-9.990, -6.060104e-12
-9.990, -5.941728e-12
-9.990, -6.018972e-12
-9.990, -5.967807e-12
-9.990, -5.954767e-12
-9.980, -5.31272e-12
-9.980, -5.503329e-12
-9.980, -5.239491e-12
-9.980, -5.341816e-12
-9.980, -5.236478e-12
-9.980, -5.360872e-12
-9.980, -5.290652e-12
-9.980, -5.229456e-12
-9.980, -5.284634e-12
-9.980, -5.1803e-12
-9.970, -4.887365e-12
-9.970, -4.876333e-12
-9.970, -4.943544e-12
-9.970, -4.960601e-12
-9.970, -4.799086e-12
-9.970, -4.906429e-12
-9.970, -4.721838e-12
-9.970, -4.700773e-12
-9.970, -4.767988e-12
-9.970, -4.888372e-12
-9.960, -4.660646e-12
-9.960, -4.655628e-12
-9.960, -4.629545e-12
-9.960, -4.628541e-12
-9.960, -4.547286e-12
-9.960, -4.631549e-12
-9.960, -4.49612e-12
-9.960, -4.58942e-12
-9.960, -4.468031e-12
-9.960, -4.507155e-12
-9.950, -4.304509e-12
-9.950, -4.330593e-12
-9.950, -4.132963e-12
-9.950, -4.357679e-12
-9.950, -4.319559e-12
-9.950, -4.250339e-12
-9.950, -4.331597e-12
-9.950, -4.35166e-12
-9.950, -4.32658e-12
-9.950, -4.319562e-12
-9.940, -4.172087e-12
-9.940, -4.092835e-12
-9.940, -4.170081e-12
-9.940, -4.142995e-12
-9.940, -4.029633e-12
-9.940, -4.113904e-12
-9.940, -4.123936e-12
-9.940, -4.09384e-12
-9.940, -4.094843e-12
-9.940, -4.209205e-12
-9.930, -4.007565e-12
-9.930, -4.063742e-12
-9.930, -4.046687e-12
-9.930, -4.050703e-12
-9.930, -4.003551e-12
-9.930, -4.038663e-12
-9.930, -4.017597e-12
-9.930, -3.995525e-12
-9.930, -3.93132e-12
-9.930, -3.994521e-12
-9.920, -3.923296e-12
-9.920, -3.859091e-12
-9.920, -3.917276e-12
-9.920, -3.89019e-12
-9.920, -3.918279e-12
-9.920, -3.844044e-12
-9.920, -3.826987e-12
-9.920, -3.845047e-12
-9.920, -3.859091e-12
-9.920, -3.872133e-12
-9.910, -3.809935e-12
-9.910, -3.812943e-12
-9.910, -3.881161e-12
-9.910, -3.793883e-12
-9.910, -3.747736e-12
-9.910, -3.795889e-12
-9.910, -3.800905e-12
-9.910, -3.72366e-12
-9.910, -3.761783e-12
-9.910, -3.811942e-12
-9.900, -3.712624e-12
-9.900, -3.6424e-12
-9.900, -3.63839e-12
-9.900, -3.632367e-12
-9.900, -3.940348e-12
-9.900, -3.613309e-12
-9.900, -3.647418e-12
-9.900, -3.522017e-12
-9.900, -3.736702e-12
-9.900, -3.568164e-12
-9.890, -3.564151e-12
-9.890, -3.583212e-12
-9.890, -3.66447e-12
-9.890, -3.66748e-12
-9.890, -3.607288e-12
-9.890, -3.500951e-12
-9.890, -3.699584e-12
-9.890, -3.586222e-12
-9.890, -3.583213e-12
-9.890, -3.557131e-12
-9.880, -3.511985e-12
-9.880, -3.495936e-12
-9.880, -3.563147e-12
-9.880, -3.505968e-12
-9.880, -3.504961e-12
-9.880, -3.424708e-12
-9.880, -3.519007e-12
-9.880, -3.483895e-12
-9.880, -3.652434e-12
-9.880, -3.570167e-12
-9.870, -3.488913e-12
-9.870, -3.448782e-12
-9.870, -3.221059e-12
-9.870, -3.344453e-12
-9.870, -3.464835e-12
-9.870, -3.429722e-12
-9.870, -3.528037e-12
-9.870, -3.484897e-12
-9.870, -3.562145e-12
-9.870, -3.546094e-12
-9.860, -3.41267e-12
-9.860, -3.444772e-12
-9.860, -3.387589e-12
-9.860, -3.445774e-12
-9.860, -3.421696e-12
-9.860, -3.294293e-12
-9.860, -3.394611e-12
-9.860, -3.3595e-12
-9.860, -3.395615e-12
-9.860, -3.357493e-12
-9.850, -3.320375e-12
-9.850, -3.280246e-12
-9.850, -3.271219e-12
-9.850, -3.313351e-12
-9.850, -3.431731e-12
-9.850, -3.350471e-12
-9.850, -3.301315e-12
-9.850, -3.420694e-12
-9.850, -3.351474e-12
-9.850, -3.291282e-12
-9.840, -3.24413e-12
-9.840, -3.235103e-12
-9.840, -3.171903e-12
-9.840, -3.266204e-12
-9.840, -3.150834e-12
-9.840, -3.231091e-12
-9.840, -3.368526e-12
-9.840, -3.246141e-12
-9.840, -3.217046e-12
-9.840, -3.307334e-12
-9.830, -3.141805e-12
-9.830, -3.228081e-12
-9.830, -3.187951e-12
-9.830, -3.152839e-12
-9.830, -3.329403e-12
-9.830, -3.2341e-12
-9.830, -3.166885e-12
-9.830, -3.204005e-12
