voltage (V), photocurrent (A)
-10.000, -2.200623e-09
-10.000, -2.199275e-09
-10.000, -2.200271e-09
-10.000, -2.194773e-09
-10.000, -2.195211e-09
-10.000, -2.193311e-09
-10.000, -2.197601e-09
-10.000, -2.196294e-09
-10.000, -2.196678e-09
-10.000, -2.189953e-09
-9.990, -2.190901e-09
-9.990, -2.184473e-09
-9.990, -2.190129e-09
-9.990, -2.190772e-09
-9.990, -2.189276e-09
-9.990, -2.18442e-09
-9.990, -2.189199e-09
-9.990, -2.19269e-09
-9.990, -2.183444e-09
-9.990, -2.180179e-09
-9.980, -2.185087e-09
-9.980, -2.186592e-09
-9.980, -2.188628e-09
-9.980, -2.190469e-09
-9.980, -2.187814e-09
-9.980, -2.190821e-09
-9.980, -2.191361e-09
-9.980, -2.191511e-09
-9.980, -2.191985e-09
-9.980, -2.187523e-09
-9.970, -2.192395e-09
-9.970, -2.189287e-09
-9.970, -2.188766e-09
-9.970, -2.185467e-09
-9.970, -2.19059e-09
-9.970, -2.184398e-09
-9.970, -2.186588e-09
-9.970, -2.188166e-09
-9.970, -2.186451e-09
-9.970, -2.190892e-09
-9.960, -2.186651e-09
-9.960, -2.170765e-09
-9.960, -2.180453e-09
-9.960, -2.181593e-09
-9.960, -2.183255e-09
-9.960, -2.183947e-09
-9.960, -2.186484e-09
-9.960, -2.187201e-09
-9.960, -2.17397e-09
-9.960, -2.177718e-09
-9.950, -2.142072e-09
-9.950, -2.14033e-09
-9.950, -2.16477e-09
-9.950, -2.169986e-09
-9.950, -2.164784e-09
-9.950, -2.157463e-09
-9.950, -2.177553e-09
-9.950, -2.178357e-09
-9.950, -2.183393e-09
-9.950, -2.19487e-09
-9.940, -2.145207e-09
-9.940, -2.141571e-09
-9.940, -2.141193e-09
-9.940, -2.140011e-09
-9.940, -2.136568e-09
-9.940, -2.134987e-09
-9.940, -2.136153e-09
-9.940, -2.138891e-09
-9.940, -2.135729e-09
-9.940, -2.140005e-09
-9.930, -2.141827e-09
-9.930, -2.141019e-09
