voltage (V), photocurrent (A)
0.000, 1.288263e-08
0.000, 1.286592e-08
0.000, 1.286692e-08
0.000, 1.286092e-08
0.000, 1.285326e-08
0.000, 1.28741e-08
0.000, 1.286739e-08
0.000, 1.286198e-08
0.000, 1.28651e-08
0.000, 1.287334e-08
0.500, 3.054458e-08
0.500, 3.058351e-08
0.500, 3.056882e-08
0.500, 3.057024e-08
0.500, 3.070365e-08
0.500, 3.06057e-08
0.500, 3.057875e-08
0.500, 3.07061e-08
0.500, 3.072868e-08
0.500, 3.060934e-08
1.000, 5.203687e-08
1.000, 5.154498e-08
1.000, 5.169607e-08
1.000, 5.278125e-08
1.000, 5.317393e-08
1.000, 5.300513e-08
1.000, 5.319957e-08
1.000, 5.312319e-08
1.000, 5.319013e-08
1.000, 5.318342e-08
1.500, 7.424222e-08
1.500, 7.436866e-08
1.500, 7.448799e-08
1.500, 7.438587e-08
1.500, 7.421598e-08
1.500, 7.42663e-08
1.500, 7.413556e-08
1.500, 7.417358e-08
1.500, 7.417982e-08
1.500, 7.439515e-08
2.000, 9.438583e-08
2.000, 9.451122e-08
2.000, 9.403522e-08
2.000, 9.453244e-08
2.000, 9.457955e-08
2.000, 9.429331e-08
2.000, 9.403045e-08
2.000, 9.443723e-08
2.000, 9.448252e-08
2.000, 9.410764e-08
2.500, 1.121234e-07
2.500, 1.122411e-07
2.500, 1.119667e-07
2.500, 1.117418e-07
2.500, 1.119624e-07
2.500, 1.119655e-07
2.500, 1.116133e-07
2.500, 1.118355e-07
2.500, 1.123896e-07
2.500, 1.121121e-07
3.000, 1.270052e-07
3.000, 1.269454e-07
3.000, 1.268062e-07
3.000, 1.260417e-07
3.000, 1.260131e-07
3.000, 1.262422e-07
3.000, 1.264713e-07
3.000, 1.259312e-07
3.000, 1.26789e-07
3.000, 1.259198e-07
3.500, 1.376137e-07
3.500, 1.374435e-07
3.500, 1.374599e-07
3.500, 1.380807e-07
3.500, 1.383524e-07
3.500, 1.373268e-07
3.500, 1.368145e-07
3.500, 1.374485e-07
3.500, 1.372556e-07
3.500, 1.373022e-07
4.000, 1.475055e-07
4.000, 1.471907e-07
4.000, 1.469823e-07
4.000, 1.472957e-07
4.000, 1.471716e-07
4.000, 1.468137e-07
4.000, 1.46777e-07
4.000, 1.470161e-07
4.000, 1.464279e-07
4.000, 1.488097e-07
4.500, 1.575696e-07
4.500, 1.574696e-07
4.500, 1.570444e-07
4.500, 1.575801e-07
4.500, 1.575781e-07
4.500, 1.56871e-07
4.500, 1.570944e-07
4.500, 1.575532e-07
4.500, 1.572141e-07
4.500, 1.56729e-07
5.000, 1.650204e-07
5.000, 1.647173e-07
5.000, 1.648328e-07
5.000, 1.651987e-07
5.000, 1.651881e-07
5.000, 1.648152e-07
5.000, 1.65018e-07
5.000, 1.653984e-07
5.000, 1.645474e-07
5.000, 1.648229e-07
5.500, 1.726985e-07
5.500, 1.723906e-07
5.500, 1.721735e-07
5.500, 1.726186e-07
5.500, 1.721344e-07
5.500, 1.727895e-07
5.500, 1.724229e-07
5.500, 1.720685e-07
5.500, 1.727866e-07
5.500, 1.727247e-07
6.000, 1.78785e-07
6.000, 1.788481e-07
6.000, 1.791539e-07
6.000, 1.792633e-07
6.000, 1.782911e-07
6.000, 1.793546e-07
6.000, 1.795004e-07
6.000, 1.792212e-07
6.000, 1.788471e-07
6.000, 1.791136e-07
6.500, 1.851952e-07
6.500, 1.852387e-07
6.500, 1.842509e-07
6.500, 1.849217e-07
6.500, 1.849785e-07
6.500, 1.843966e-07
6.500, 1.847461e-07
6.500, 1.856862e-07
6.500, 1.849338e-07
6.500, 1.844226e-07
7.000, 1.901488e-07
7.000, 1.898401e-07
7.000, 1.8957e-07
7.000, 1.902185e-07
7.000, 1.898732e-07
7.000, 1.903672e-07
7.000, 1.901922e-07
7.000, 1.904862e-07
7.000, 1.901185e-07
7.000, 1.895449e-07
7.500, 1.953134e-07
7.500, 1.957548e-07
7.500, 1.946951e-07
7.500, 1.947592e-07
7.500, 1.954692e-07
7.500, 1.951469e-07
7.500, 1.940286e-07
7.500, 1.949224e-07
7.500, 1.94447e-07
7.500, 1.946766e-07
8.000, 1.990613e-07
8.000, 1.984384e-07
8.000, 1.985204e-07
8.000, 1.991097e-07
8.000, 1.991367e-07
8.000, 1.991636e-07
