voltage (V), photocurrent (A)
-10.000, -5.833311e-10
-10.000, -5.760383e-10
-10.000, -5.727598e-10
-10.000, -5.689975e-10
-10.000, -5.632435e-10
-10.000, -5.612458e-10
-10.000, -5.581813e-10
-10.000, -5.567955e-10
-10.000, -5.519256e-10
-10.000, -5.515298e-10
-9.990, -5.342851e-10
-9.990, -5.313205e-10
-9.990, -5.334373e-10
-9.990, -5.302591e-10
-9.990, -5.294236e-10
-9.990, -5.310204e-10
-9.990, -5.299574e-10
-9.990, -5.288144e-10
-9.990, -5.266323e-10
-9.990, -5.283801e-10
-9.980, -5.209772e-10
-9.980, -5.208918e-10
-9.980, -5.200231e-10
-9.980, -5.193348e-10
-9.980, -5.189523e-10
-9.980, -5.202846e-10
-9.980, -5.133048e-10
-9.980, -5.185551e-10
-9.980, -5.19166e-10
-9.980, -5.178967e-10
-9.970, -5.040007e-10
-9.970, -5.037106e-10
-9.970, -5.032399e-10
-9.970, -5.029954e-10
-9.970, -5.003908e-10
-9.970, -4.995732e-10
-9.970, -4.99217e-10
-9.970, -4.992872e-10
-9.970, -4.989049e-10
-9.970, -4.977364e-10
-9.960, -5.018603e-10
-9.960, -5.040589e-10
-9.960, -5.014253e-10
-9.960, -5.007121e-10
-9.960, -5.021971e-10
-9.960, -5.006946e-10
-9.960, -5.011393e-10
-9.960, -5.01088e-10
-9.960, -5.02853e-10
-9.960, -4.986854e-10
-9.950, -5.008293e-10
-9.950, -5.008242e-10
-9.950, -5.016861e-10
-9.950, -5.012705e-10
-9.950, -5.007421e-10
-9.950, -5.013349e-10
-9.950, -5.012498e-10
-9.950, -5.008834e-10
-9.950, -5.010629e-10
-9.950, -5.012344e-10
-9.940, -5.007779e-10
-9.940, -5.018075e-10
-9.940, -5.022951e-10
-9.940, -5.0169e-10
-9.940, -4.995823e-10
-9.940, -5.013391e-10
-9.940, -5.027094e-10
-9.940, -5.033507e-10
-9.940, -5.039101e-10
-9.940, -5.021456e-10
-9.930, -5.029762e-10
-9.930, -5.014922e-10
-9.930, -5.024977e-10
-9.930, -5.039954e-10
-9.930, -5.043957e-10
-9.930, -5.026223e-10
-9.930, -5.049213e-10
-9.930, -5.016236e-10
-9.930, -5.034936e-10
-9.930, -5.032161e-10
-9.920, -5.036104e-10
-9.920, -5.031875e-10
-9.920, -5.030728e-10
-9.920, -5.026381e-10
-9.920, -5.024052e-10
-9.920, -5.027204e-10
-9.920, -5.029722e-10
-9.920, -5.031585e-10
-9.920, -5.011523e-10
-9.920, -5.024073e-10
-9.910, -5.029286e-10
-9.910, -5.031045e-10
-9.910, -5.023602e-10
-9.910, -5.024281e-10
-9.910, -5.04229e-10
-9.910, -5.030021e-10
-9.910, -5.033907e-10
-9.910, -5.03188e-10
-9.910, -5.006647e-10
-9.910, -5.029165e-10
-9.900, -5.031738e-10
-9.900, -5.017701e-10
-9.900, -5.017564e-10
-9.900, -5.020251e-10
-9.900, -5.017239e-10
-9.900, -5.013139e-10
-9.900, -5.027653e-10
-9.900, -5.023602e-10
-9.900, -4.995537e-10
-9.900, -5.008891e-10
-9.890, -5.037476e-10
-9.890, -5.032088e-10
-9.890, -5.040854e-10
-9.890, -5.040153e-10
-9.890, -5.026783e-10
-9.890, -5.038259e-10
-9.890, -5.035378e-10
-9.890, -5.006435e-10
-9.890, -5.016566e-10
-9.890, -5.015703e-10
-9.880, -5.013918e-10
-9.880, -4.988114e-10
-9.880, -4.993946e-10
-9.880, -4.980601e-10
-9.880, -4.987544e-10
-9.880, -4.980792e-10
-9.880, -4.973628e-10
-9.880, -4.980752e-10
-9.880, -4.991347e-10
-9.880, -4.962081e-10
-9.870, -4.993251e-10
-9.870, -4.964699e-10
-9.870, -4.974005e-10
-9.870, -4.981166e-10
-9.870, -4.973658e-10
-9.870, -4.980432e-10
-9.870, -4.991125e-10
-9.870, -4.990963e-10
-9.870, -4.971661e-10
-9.870, -4.984965e-10
-9.860, -4.993564e-10
-9.860, -4.972022e-10
-9.860, -4.974738e-10
-9.860, -4.973678e-10
-9.860, -4.981102e-10
-9.860, -4.991269e-10
-9.860, -4.969818e-10
-9.860, -4.9689e-10
-9.860, -4.998338e-10
-9.860, -4.963574e-10
-9.850, -4.99219e-10
-9.850, -4.977821e-10
-9.850, -4.950604e-10
-9.850, -4.957575e-10
-9.850, -4.966282e-10
-9.850, -4.963515e-10
-9.850, -4.97766e-10
-9.850, -4.972905e-10
-9.850, -4.964976e-10
-9.850, -4.979888e-10
-9.840, -4.969825e-10
-9.840, -4.960336e-10
-9.840, -4.975983e-10
-9.840, -4.977099e-10
-9.840, -4.95919e-10
-9.840, -4.952809e-10
